client_code,name,product,status,city,date,type,direction,amount,currency
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-01 10:42:56,card_out,out,12343.87,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-01 11:57:36,card_out,out,10605.82,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-01 12:28:47,card_in,in,6632.26,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-01 15:37:52,card_out,out,6996.03,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-01 18:32:00,card_out,out,16306.72,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-01 19:29:34,card_in,in,19842.85,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-01 21:54:36,loan_payment_out,out,35726.8,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-02 09:02:32,cashback_in,in,10454.46,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-02 12:11:32,p2p_out,out,10476.52,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-03 11:39:44,p2p_out,out,13757.57,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-03 13:05:24,p2p_out,out,28747.51,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-04 08:21:11,card_out,out,37996.26,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-04 12:21:54,card_out,out,36613.87,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-05 18:20:49,atm_withdrawal,out,56346.35,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-05 18:34:59,p2p_out,out,20638.23,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-05 21:24:48,card_out,out,34303.01,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-05 21:28:03,card_out,out,24797.93,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-05 21:49:16,loan_payment_out,out,59897.12,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-06 08:36:18,utilities_out,out,24208.69,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-06 09:24:35,card_out,out,15148.1,KZT
38,Серик,Депозит Сберегательный,Премиальный клиент,Астана,2025-06-06 19:11:39,p2p_out,out,21267.3,KZT
