client_code,name,product,status,city,date,category,amount,currency
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-01 09:15:34,Такси,7541.5,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-01 12:10:28,Продукты питания,22983.82,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-01 13:50:14,Кино,3054.44,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-02 09:15:40,Такси,8961.69,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-02 10:10:57,Играем дома,5799.86,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-02 12:10:24,Продукты питания,7757.87,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-02 13:10:03,Кино,7303.48,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-02 19:00:38,Кафе и рестораны,28672.92,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-02 21:00:03,Кино,4285.27,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-03 08:10:54,Играем дома,4819.49,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-03 12:10:19,Продукты питания,11717.98,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-03 17:50:17,Играем дома,8531.69,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-03 18:30:57,АЗС,15542.05,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-05 09:00:12,Смотрим дома,7947.47,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-05 13:40:31,Такси,8055.53,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-05 14:00:45,Такси,4857.68,KZT
42,Рустем,Депозит Сберегательный,Премиальный клиент,Алматы,2025-06-05 18:10:10,Кафе и рестораны,5563.73,KZT
