client_code,name,product,status,city,date,type,direction,amount,currency
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-01 10:44:01,p2p_out,out,12538.59,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-01 11:12:44,atm_withdrawal,out,23227.44,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-01 14:51:35,p2p_out,out,19032.05,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-02 09:57:29,utilities_out,out,39817.09,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-02 11:23:28,p2p_out,out,7582.38,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-03 09:08:43,card_out,out,8714.66,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-03 11:03:40,card_out,out,12114.9,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-03 15:01:52,card_out,out,13177.5,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-03 16:20:40,cashback_in,in,13860.26,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-05 08:42:19,card_out,out,15630.45,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-05 12:14:15,card_out,out,23450.09,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-05 13:21:30,card_out,out,16546.81,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-05 15:53:08,p2p_out,out,14723.34,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-05 17:55:18,card_out,out,7377.13,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-06 08:40:39,card_out,out,10442.51,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-06 17:32:02,card_out,out,10611.46,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-06 18:12:00,card_out,out,11645.07,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-06 18:36:19,card_out,out,19738.68,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-06 20:04:12,card_out,out,20001.3,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-06 20:45:28,card_out,out,23055.84,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-07 08:07:37,cashback_in,in,13677.92,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-07 15:44:41,card_in,in,7629.06,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-07 17:02:55,card_out,out,11969.32,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-07 17:21:51,p2p_out,out,8402.69,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-07 21:28:58,p2p_out,out,14782.45,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-08 14:32:11,p2p_out,out,10232.07,KZT
55,Асель,Золотые слитки,Премиальный клиент,Алматы,2025-06-09 08:28:10,card_out,out,27530.67,KZT
