client_code,name,product,status,city,date,category,amount,currency
7,Руслан,Премиальная карта,вип,Алматы,2025-06-02 12:10:19,Продукты питания,23504.55,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-02 17:25:20,Косметика и Парфюмерия,41195.3,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-03 08:50:09,Кафе и рестораны,4417.56,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-03 09:15:49,Такси,3462.94,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-03 11:30:16,Смотрим дома,4638.4,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-03 19:00:34,Кафе и рестораны,9103.12,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-04 12:00:12,Такси,4970.44,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-04 12:10:05,Продукты питания,25682.05,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-04 12:40:01,Такси,4215.37,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-04 13:10:27,Смотрим дома,3491.26,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-04 14:40:12,Кафе и рестораны,2106.45,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-04 15:50:56,Кино,4836.65,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-04 18:20:52,Играем дома,4714.29,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-04 19:00:16,Кафе и рестораны,6129.26,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-05 12:10:22,Продукты питания,21579.93,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-06 19:00:02,Кафе и рестораны,7504.12,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-07 12:10:04,Продукты питания,17958.99,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-07 18:10:15,Кафе и рестораны,5085.45,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-07 21:40:46,Едим дома,6993.16,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-08 12:10:53,Продукты питания,25723.52,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-08 13:20:21,Кино,5486.04,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-08 19:00:07,Кафе и рестораны,10638.87,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-09 12:10:45,Продукты питания,28676.74,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-09 17:25:30,Косметика и Парфюмерия,40226.21,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-10 12:10:40,Продукты питания,40353.07,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-10 18:30:01,АЗС,19946.82,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-10 19:00:03,Кафе и рестораны,7286.2,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-10 21:20:51,Играем дома,6408.84,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-11 08:50:22,Играем дома,6890.22,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-11 10:00:24,Смотрим дома,3445.86,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-11 10:20:14,Кафе и рестораны,5100.93,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-11 12:10:58,Продукты питания,9172.75,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-11 13:40:03,Такси,3672.74,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-11 17:40:03,Едим дома,5097.2,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-12 08:10:10,Такси,3445.79,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-12 12:10:29,Продукты питания,10151.18,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-13 08:00:25,Кино,4755.21,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-13 08:30:23,Кафе и рестораны,5309.64,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-13 11:30:07,Кафе и рестораны,6618.89,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-13 12:10:44,Продукты питания,35376.45,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-13 12:30:30,Едим дома,5389.19,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-13 14:00:10,Едим дома,8329.26,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-13 17:25:04,Косметика и Парфюмерия,32796.79,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-13 19:00:21,Кафе и рестораны,20655.85,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-14 12:00:08,Такси,3126.86,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-14 12:10:03,Продукты питания,9407.78,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-14 13:50:33,Смотрим дома,5265.47,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-14 14:30:45,Едим дома,2357.25,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-14 20:40:29,Кино,6502.72,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-15 12:10:47,Продукты питания,10883.25,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-15 12:40:19,Едим дома,6846.47,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-16 12:10:10,Продукты питания,28024.91,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-16 16:00:56,Играем дома,6208.41,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-16 17:50:39,Играем дома,5660.92,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-17 09:15:00,Такси,4569.73,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-17 14:40:52,Такси,3288.81,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-18 12:10:22,Продукты питания,11158.93,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-18 17:25:06,Косметика и Парфюмерия,11833.62,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-18 21:30:27,Такси,3648.48,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-19 16:30:24,Едим дома,4006.25,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-19 19:00:06,Кафе и рестораны,17631.16,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-20 09:40:59,Играем дома,6084.21,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-20 11:10:19,Смотрим дома,4490.67,KZT
7,Руслан,Премиальная карта,вип,Алматы,2025-06-20 12:10:06,Продукты питания,8373.79,KZT
