client_code,name,product,status,city,date,category,amount,currency
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-02 09:15:50,Такси,3809.47,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-02 12:10:30,Продукты питания,9504.5,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-02 15:10:05,Играем дома,4575.73,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-02 17:10:22,Кино,4850.16,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-02 21:00:17,Такси,2623.3,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-02 21:10:02,Такси,4568.07,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-03 11:50:55,Кафе и рестораны,7152.5,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-03 12:10:19,Продукты питания,14522.76,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-03 13:50:02,Кафе и рестораны,4727.47,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-03 15:50:29,Смотрим дома,4121.76,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-03 19:00:33,Кафе и рестораны,14682.58,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-04 12:10:30,Продукты питания,14865.94,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-04 19:00:01,Кафе и рестораны,3173.14,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-05 09:10:03,Едим дома,2849.92,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-05 09:30:39,Смотрим дома,6258.15,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-05 12:10:59,Продукты питания,13421.41,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-05 14:50:46,Кино,3153.47,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-07 08:20:26,Едим дома,7039.51,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-07 12:10:44,Продукты питания,9163.1,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-07 19:00:41,Кафе и рестораны,19725.24,KZT
6,Аян,Карта для путешествий,обычный,Шымкент,2025-06-08 12:10:14,Продукты питания,25856.97,KZT
